lr,hidden_size,num_layers,dropout,batch_size,f1_macro
0.001,256,2,0.5,64,0.480419007368615
0.0005,64,2,0.3,64,0.4787556677388696
0.0005,64,2,0.3,32,0.47871662253191455
0.0005,256,2,0.5,32,0.4771485457244898
0.0005,256,2,0.3,64,0.4770850089059
0.0005,64,1,0.3,64,0.47704954198001986
0.001,128,1,0.5,64,0.47702152025431
0.0005,64,1,0.3,32,0.47572652238332463
0.001,128,2,0.3,64,0.4756172217463708
0.001,128,2,0.5,32,0.4755773912019099
0.0005,256,1,0.5,32,0.47530887037062647
0.001,256,2,0.3,64,0.4748561160024242
0.0005,128,1,0.3,32,0.4747376559402324
0.001,256,2,0.3,32,0.47459266475675016
0.0005,256,1,0.5,64,0.4740602474186903
0.0005,256,2,0.5,64,0.47396825169715195
0.001,64,2,0.5,64,0.47373160617179594
0.0005,128,2,0.5,64,0.4733836647949901
0.001,64,2,0.3,32,0.4733206465026473
0.0005,64,1,0.5,32,0.47310727113510276
0.001,64,2,0.5,32,0.47309473561649146
0.0005,256,2,0.3,32,0.4729140805997138
0.0005,64,1,0.5,64,0.4726752424040672
0.001,128,1,0.5,32,0.47185829863674283
0.0005,256,1,0.3,32,0.47181040978387756
0.0005,128,1,0.3,64,0.47179074435140694
0.001,256,1,0.3,64,0.47166232562963534
0.001,256,1,0.5,32,0.4714952439476758
0.001,64,1,0.3,64,0.47145894367416474
0.0005,128,1,0.5,32,0.47112371374978573
0.0005,256,1,0.3,64,0.47070733858424146
0.0005,64,2,0.5,64,0.47008083592472255
0.001,64,1,0.5,64,0.46999725709486634
0.001,256,1,0.3,32,0.4699819886919965
0.0005,64,2,0.5,32,0.4697977023954059
0.001,256,1,0.5,64,0.4695542824220084
0.0005,128,2,0.3,64,0.4687520720121423
0.001,128,2,0.3,32,0.4684871736867342
0.001,128,2,0.5,64,0.4682941587935123
0.0005,128,2,0.3,32,0.4674282378707628
0.001,64,2,0.3,64,0.4665272271927161
0.0005,128,2,0.5,32,0.466158445048827
0.001,64,1,0.3,32,0.46608214173506485
0.001,128,1,0.3,64,0.4651543661712047
0.001,256,2,0.5,32,0.4649703678132864
0.0005,128,1,0.5,64,0.4630902362364126
0.001,64,1,0.5,32,0.46060692042917856
0.001,128,1,0.3,32,0.4536244630311766
