lr,hidden_size,num_layers,dropout,weight_decay,f1_macro
0.0007,128,1,0.2,0.0001,0.47882078679107715
0.001,128,1,0.4,0.0001,0.4781906740965794
0.001,128,2,0.5,0.0001,0.478132559852053
0.0005,128,1,0.4,1e-05,0.47801894463897426
0.0005,64,2,0.2,0.0001,0.47795015312413774
0.0007,64,2,0.2,0.0001,0.4776746296815686
0.0005,128,2,0.5,1e-05,0.47741483671551715
0.001,128,1,0.2,1e-05,0.47692860380989144
0.001,64,2,0.4,1e-05,0.47665698945041335
0.001,64,2,0.5,0.0001,0.47614750984924
0.001,128,2,0.2,0.0001,0.4760749206883923
0.0007,64,2,0.5,0.0001,0.47575611469299345
0.001,64,2,0.2,1e-05,0.47571468110305376
0.0005,128,1,0.2,1e-05,0.47570262245985423
0.0005,128,2,0.2,0.0001,0.4756534892848577
0.001,128,2,0.2,1e-05,0.47561607930033567
0.0007,64,1,0.4,1e-05,0.47545398400693784
0.0005,64,2,0.4,1e-05,0.47505270675501277
0.0007,128,2,0.4,1e-05,0.47473688338339654
0.0007,128,1,0.4,0.0001,0.4746139884507814
0.0007,64,1,0.2,1e-05,0.47444037265911154
0.001,64,1,0.2,0.0001,0.4741581800816557
0.0005,128,2,0.4,1e-05,0.47370104538507735
0.0005,128,2,0.2,1e-05,0.47346657880124093
0.0005,64,2,0.5,0.0001,0.4734347300489932
0.001,64,2,0.2,0.0001,0.4731043617112984
0.0007,128,2,0.2,1e-05,0.47280311990862783
0.0005,128,1,0.4,0.0001,0.47222740571840127
0.0005,64,1,0.4,0.0001,0.47222477169980853
0.001,64,1,0.2,1e-05,0.4720645763095699
0.0007,128,2,0.2,0.0001,0.47200306540460746
0.0005,128,1,0.2,0.0001,0.47198555667500525
0.001,128,2,0.4,1e-05,0.471955912775242
0.0005,64,2,0.4,0.0001,0.47167196991397603
0.0005,128,1,0.5,0.0001,0.471379965255448
0.0007,64,1,0.2,0.0001,0.4711356442216794
0.0007,128,1,0.5,0.0001,0.4710575692032177
0.001,128,1,0.4,1e-05,0.47090895392798754
0.0007,64,2,0.2,1e-05,0.4707077840036544
0.0005,128,2,0.5,0.0001,0.4706822945181921
0.0005,64,1,0.2,0.0001,0.4706571678904889
0.0007,128,1,0.2,1e-05,0.4703334363857572
0.0005,64,2,0.5,1e-05,0.4699458224713391
0.0005,64,1,0.5,1e-05,0.46987438958144273
0.001,64,1,0.4,0.0001,0.4697661525126669
0.001,128,1,0.5,1e-05,0.4694568716738852
0.001,128,1,0.2,0.0001,0.4694515645097154
0.001,128,2,0.4,0.0001,0.46912833118358815
0.001,64,2,0.4,0.0001,0.4689788207686276
0.0005,64,1,0.2,1e-05,0.46858190347791223
0.0005,128,2,0.4,0.0001,0.46851313414089407
0.001,64,1,0.4,1e-05,0.4683158887959094
0.0007,64,2,0.4,0.0001,0.4681837191063503
0.0005,64,1,0.5,0.0001,0.4678614832979801
0.0005,64,2,0.2,1e-05,0.4675476028543241
0.001,64,1,0.5,0.0001,0.46714518046488207
0.0007,64,1,0.4,0.0001,0.46650328598313157
0.001,128,2,0.5,1e-05,0.46617066881665387
0.0007,64,1,0.5,1e-05,0.4656498998487158
0.001,128,1,0.5,0.0001,0.46447309993077096
0.0007,128,2,0.5,0.0001,0.46398793305056135
0.0005,128,1,0.5,1e-05,0.4632814363234803
0.0007,64,2,0.4,1e-05,0.4621150551095541
0.0007,128,1,0.5,1e-05,0.4620836237637074
0.0007,128,1,0.4,1e-05,0.4613061030942067
0.0007,128,2,0.5,1e-05,0.46023205209663764
0.0007,64,2,0.5,1e-05,0.4600841920891936
0.0005,64,1,0.4,1e-05,0.45964193966546296
0.001,64,1,0.5,1e-05,0.45943239747897097
0.0007,64,1,0.5,0.0001,0.45923051063642256
0.0007,128,2,0.4,0.0001,0.4546202917683459
0.001,64,2,0.5,1e-05,0.4145990869028558
