lr,hidden_size,dropout,num_layers,f1_macro
0.001,256,0.7,2,0.48242133458962494
0.0005,128,0.5,3,0.4824017957165336
0.001,128,0.3,2,0.4822085421816958
0.001,64,0.7,2,0.4820830896363042
0.001,64,0.6,3,0.4814702833102363
0.001,64,0.4,3,0.48128466687201005
0.001,128,0.4,2,0.48074969908094767
0.001,128,0.6,3,0.4806857421271716
0.0005,64,0.5,3,0.48067342033848837
0.001,64,0.4,2,0.4803369755829068
0.001,256,0.7,3,0.48020030187616075
0.001,64,0.6,2,0.47992973152951873
0.001,128,0.5,3,0.47964877910369036
0.0005,256,0.5,2,0.4789696409639845
0.0005,256,0.7,3,0.47870816145184253
0.001,256,0.5,3,0.4786147236673237
0.001,256,0.6,3,0.47859321561470214
0.0005,128,0.4,3,0.47839877704004374
0.001,256,0.5,2,0.47839066839876515
0.001,256,0.6,2,0.4781837204332458
0.0005,64,0.4,2,0.47788195164614683
0.0005,256,0.6,3,0.47780310746465265
0.0005,64,0.7,3,0.47773191284901695
0.0005,128,0.7,2,0.47752002479860645
0.001,64,0.5,3,0.47749490976292824
0.0005,128,0.3,3,0.47726842756163856
0.0001,64,0.3,3,0.47709381939517037
0.0001,128,0.7,2,0.4768799804599029
0.0001,256,0.4,2,0.47670212495794995
0.001,128,0.6,2,0.47659258440546876
0.001,64,0.5,2,0.4765626533511765
0.001,128,0.5,2,0.4765406021837764
0.0001,256,0.4,3,0.47642155377177203
0.001,256,0.4,3,0.4763923770155383
0.001,128,0.7,3,0.4762807542528092
0.0005,128,0.6,3,0.476124635637244
0.0005,256,0.6,2,0.47605545625903645
0.0001,256,0.6,2,0.4760194361788697
0.001,64,0.3,3,0.47569739703165054
0.0001,128,0.3,2,0.4755824981201921
0.0001,256,0.7,3,0.4755656414181469
0.0001,128,0.3,3,0.4755036051091273
0.001,128,0.4,3,0.4753236417955964
0.0005,128,0.6,2,0.47511809491205126
0.0005,128,0.4,2,0.47507196266105867
0.0005,64,0.6,2,0.47506520646457645
0.0001,128,0.6,2,0.4748889382247163
0.0001,64,0.7,2,0.47487976122249026
0.001,64,0.7,3,0.474851970953984
0.001,64,0.3,2,0.474794983805866
0.0005,256,0.4,2,0.47457528194747906
0.0005,256,0.3,3,0.47423523206145773
0.001,256,0.3,3,0.47415870882155203
0.0001,128,0.7,3,0.47385170570260265
0.0005,256,0.7,2,0.47382506515668527
0.0005,64,0.3,3,0.47354480652826364
0.0001,128,0.6,3,0.47342867295319085
0.0001,256,0.3,3,0.47339197973321495
0.0001,64,0.6,2,0.47332849232863144
0.0005,64,0.6,3,0.473302645257825
0.0005,128,0.3,2,0.4732332956890226
0.0001,128,0.4,3,0.4726232800645893
0.0001,64,0.5,2,0.4726088179677041
0.001,256,0.3,2,0.47250480533648903
0.0001,128,0.4,2,0.4724267601110818
0.0001,128,0.5,3,0.47239812764940475
0.0005,128,0.7,3,0.4722062025923175
0.0001,64,0.4,2,0.47219559290660956
0.0005,256,0.4,3,0.47210712297227647
0.0001,256,0.5,3,0.47195943913163757
0.0001,64,0.3,2,0.47185479668402125
0.0001,256,0.6,3,0.471838187735162
0.0005,64,0.3,2,0.47172103194831455
0.0001,256,0.5,2,0.4709668133189308
0.0005,256,0.3,2,0.47066443286661647
0.0001,64,0.7,3,0.47040010916100256
0.0005,256,0.5,3,0.470165887069673
0.0001,64,0.5,3,0.4700892285549869
0.0005,64,0.7,2,0.46984738907522644
0.0005,64,0.4,3,0.4696947895792641
0.001,128,0.7,2,0.4696019935809635
0.001,256,0.4,2,0.46929973203106545
0.0005,128,0.5,2,0.46899523287887207
0.0001,64,0.4,3,0.46865791298845677
0.0001,128,0.5,2,0.4683226274890602
0.001,128,0.3,3,0.46775759754781204
0.0001,256,0.3,2,0.46595190521090774
0.0005,64,0.5,2,0.4644856363979612
0.0001,64,0.6,3,0.4549149148866989
0.0001,256,0.7,2,0.45007639048324893
