id,date,league_id,home_team_id,away_team_id,home_elo,away_elo,h_rest_days,h_avg_xg_for_last_5,h_avg_xg_against_last_5,h_avg_ppda_last_5,h_avg_deep_last_5,h_avg_goals_scored_last_5,h_avg_goals_conceded_last_5,h_avg_points_last_5,h_xg_diff_last_5,a_rest_days,a_avg_xg_for_last_5,a_avg_xg_against_last_5,a_avg_ppda_last_5,a_avg_deep_last_5,a_avg_goals_scored_last_5,a_avg_goals_conceded_last_5,a_avg_points_last_5,a_xg_diff_last_5,elo_diff,rest_days_diff,h2h_home_pts,day_of_week,month,target_outcome,target_total_2_5,target_home_goals,target_away_goals
4454,2020-08-29 19:00:00,3,64,67,1581.79882812,1626.9284668,6.0,0.326826,3.07214,17.4,4.0,1.0,3.0,0.0,-2.745314,6.0,0.180464,3.03614,7.266666666666667,3.0,2.0,1.0,3.0,-2.855676,-45.12963867999997,0.0,1.0,5,8,0,0,0,2
4459,2020-08-30 11:00:00,3,66,61,1623.81408691,1678.07714844,7.0,1.83257,2.67622,21.19047619047619,3.0,2.0,2.0,1.0,-0.8436499999999998,7.0,0.400974,1.29518,16.5,1.0,1.0,1.0,1.0,-0.8942060000000001,-54.26306152999996,0.0,1.0,6,8,0,0,0,1
4455,2020-08-30 13:00:00,3,60,57,1594.42114258,1602.73999023,7.0,2.02214,0.739709,24.125,6.0,1.0,0.0,3.0,1.2824309999999999,8.0,0.600075,0.187821,24.46153846153846,0.0,0.0,0.0,1.0,0.412254,-8.31884765000018,-1.0,1.0,6,8,0,0,0,2
4458,2020-08-30 13:00:00,3,58,69,1588.71862793,1567.09448242,8.0,0.187821,0.600075,13.0,2.0,0.0,0.0,1.0,-0.412254,7.0,2.14597,0.468011,8.206896551724139,7.0,4.0,0.0,3.0,1.6779590000000002,21.624145509999835,1.0,1.0,6,8,2,1,2,1
4462,2020-09-11 19:00:00,3,57,71,1616.04992676,1740.1361084,12.0,1.4426824999999999,0.349685,16.217948717948715,1.0,1.0,0.0,2.0,1.0929974999999998,14.0,3.97148,0.215658,6.0,15.0,4.0,1.0,3.0,3.755822,-124.08618163999995,-2.0,1.0,4,9,1,0,0,0
4463,2020-09-12 15:00:00,3,72,67,1622.72619629,1638.6237793,14.0,0.491784,1.78715,13.266666666666667,2.0,1.0,2.0,0.0,-1.295366,13.0,0.6947019999999999,1.6320195,10.014285714285714,2.0,2.0,0.5,3.0,-0.9373175,-15.897583010000062,1.0,1.0,5,9,2,1,3,1
4464,2020-09-12 19:00:00,3,75,64,1574.55908203,1570.10351562,13.0,1.39361,0.2149,9.125,2.0,2.0,0.0,3.0,1.17871,14.0,0.2773625,2.14054,16.84,4.0,0.5,2.5,0.0,-1.8631775000000002,4.455566409999847,-1.0,1.0,5,9,2,0,2,0
4467,2020-09-13 11:00:00,3,61,74,1686.25598145,1555.40600586,14.0,0.653879,0.7509035,16.445652173913043,0.5,1.0,0.5,2.0,-0.09702449999999996,13.0,0.626118,0.189291,8.74074074074074,4.0,0.0,1.0,0.0,0.43682699999999997,130.84997558999999,1.0,1.0,6,9,2,0,1,0
4466,2020-09-13 13:00:00,3,59,70,1523.73913574,1531.80981445,14.0,0.4776835,2.99681,25.3,2.5,0.5,2.5,0.0,-2.5191265,13.0,1.2969755,1.73494,6.205208333333333,7.5,1.0,3.5,0.0,-0.43796449999999987,-8.070678710000038,1.0,1.0,6,9,0,0,0,2
4465,2020-09-13 13:00:00,3,60,66,1581.11108398,1615.63525391,14.0,1.2668445,1.5124994999999999,16.223790322580644,6.0,0.5,1.0,1.5,-0.24565499999999996,14.0,1.0195985,1.791502,16.001488095238095,1.5,1.0,1.5,0.5,-0.7719034999999999,-34.52416992999997,0.0,1.0,6,9,2,0,1,0
4470,2020-09-13 13:00:00,3,69,62,1560.97595215,1671.48840332,14.0,1.5104170000000001,1.3117405000000002,7.0826149425287355,7.5,2.5,1.0,1.5,0.19867649999999992,14.0,1.541165,0.44637899999999997,14.089285714285715,6.5,1.5,1.0,2.0,1.094786,-110.51245117000008,0.0,1.0,6,9,0,1,2,4
4468,2020-09-13 13:00:00,3,63,68,1499.97583008,1507.60852051,14.0,1.64352,0.860218,6.934551495016612,1.5,1.5,1.5,1.5,0.783302,2.0,2.376805,0.262331,13.892610837438424,5.0,1.0,1.0,1.5,2.114474,-7.632690430000139,12.0,1.0,6,9,0,1,2,3
4469,2020-09-13 15:00:00,3,65,58,1612.45629883,1594.8371582,14.0,1.4327554999999998,1.229344,7.07912457912458,8.0,1.5,1.0,2.0,0.20341149999999986,14.0,1.1716455000000001,0.7374695,14.852941176470589,1.5,1.0,0.5,2.0,0.4341760000000001,17.619140629999947,0.0,1.0,6,9,2,1,2,1
4471,2020-09-13 19:00:00,3,76,73,1500.0,1701.66992188,2.0,0.344198,1.71747,4.875,4.0,0.0,1.0,0.0,-1.373272,14.0,1.32391,2.12594,14.333333333333334,3.0,3.0,2.0,3.0,-0.80203,-201.66992187999995,-12.0,1.0,6,9,0,0,0,1
4472,2020-09-15 19:00:00,3,72,71,1632.81713867,1738.09631348,3.0,1.0955620000000001,1.081922,12.473333333333333,5.0,2.0,1.5,1.5,0.013640000000000096,4.0,2.88437,0.223395,5.576923076923077,14.0,2.0,0.5,2.0,2.660975,-105.27917480999986,-1.0,1.0,1,9,2,1,2,1
4473,2020-09-16 19:00:00,3,76,74,1500.0,1551.48327637,3.0,1.283019,1.1101435,4.625,5.0,0.0,1.0,0.0,0.17287549999999996,3.0,0.6814195,0.5019095,10.913848631239937,3.0,0.0,1.0,0.0,0.17950999999999995,-51.48327637000011,0.0,1.0,2,9,2,0,1,0
4474,2020-09-17 19:00:00,3,73,75,1715.56420898,1583.89648438,4.0,0.9133635,2.17389,13.354166666666668,2.0,2.0,1.0,3.0,-1.2605265,5.0,1.57734,0.758475,9.4625,2.0,2.0,0.0,3.0,0.818865,131.66772460000016,-1.0,1.0,3,9,0,0,0,2
4475,2020-09-18 19:00:00,3,71,69,1728.59985352,1551.79260254,3.0,2.64641,0.7328233333333333,6.631528964862298,12.666666666666666,1.6666666666666667,1.0,1.3333333333333333,1.9135866666666668,5.0,1.3430913333333334,1.5725270000000002,7.900314723590586,5.666666666666667,2.3333333333333335,2.0,1.0,-0.22943566666666682,176.80725097999994,-2.0,1.0,4,9,1,0,0,0
10,2020-09-19 11:30:00,1,10,11,1727.31481934,1500.0,5.0,1.26793,0.822944,16.263157894736842,5.0,1.0,0.0,3.0,0.444986,5.0,0.352997,2.95581,19.105263157894736,6.0,0.0,3.0,0.0,-2.6028130000000003,227.31481933999999,0.0,1.0,5,9,2,1,5,2
2240,2020-09-19 14:00:00,2,41,31,1767.15185547,1684.08532715,5.0,2.01913,0.556003,5.620689655172414,11.0,1.0,1.0,1.0,1.463127,7.0,0.344008,0.783653,4.407407407407407,1.0,0.0,0.0,1.0,-0.43964500000000006,83.06652832000009,-2.0,1.0,5,9,2,1,2,1
11,2020-09-19 14:00:00,1,6,3,1623.5291748,1584.40698242,6.0,0.269813,3.15412,9.333333333333334,2.0,3.0,4.0,0.0,-2.8843069999999997,7.0,0.126327,2.16287,32.69230769230769,0.0,0.0,3.0,0.0,-2.036543,39.12219237999989,-1.0,1.0,5,9,2,1,4,3
4476,2020-09-19 15:00:00,3,68,57,1516.82592773,1618.08984375,6.0,2.2470233333333334,0.48146833333333333,11.644456607674998,6.0,1.6666666666666667,1.3333333333333333,2.0,1.765555,7.0,1.0388323333333334,0.83221,16.103632478632477,1.3333333333333333,0.6666666666666666,0.0,1.6666666666666667,0.20662233333333335,-101.2639160199999,-1.0,1.0,5,9,2,1,2,1
4477,2020-09-19 19:00:00,3,62,65,1680.671875,1618.74987793,6.0,1.7254766666666665,0.6337326666666666,13.42794486215539,6.0,2.3333333333333335,1.3333333333333333,2.3333333333333335,1.0917439999999998,6.0,1.7119769999999999,1.1892093333333333,7.7416386083052755,8.0,1.6666666666666667,1.0,2.3333333333333335,0.5227676666666665,61.92199707000009,0.0,1.0,5,9,2,1,2,1
2238,2020-09-19 19:00:00,2,32,39,1500.0,1743.2935791,7.0,0.783653,0.344008,5.2272727272727275,2.0,0.0,0.0,1.0,0.43964500000000006,6.0,1.72531,2.37179,14.5,4.0,4.0,2.0,3.0,-0.6464799999999999,-243.2935791,1.0,1.0,5,9,2,1,2,1
9,2020-09-19 19:00:00,1,4,7,1806.66320801,1672.36401367,7.0,2.16287,0.126327,21.928571428571427,11.0,3.0,0.0,3.0,2.036543,7.0,0.861445,1.65911,6.407407407407407,5.0,0.0,2.0,0.0,-0.7976650000000001,134.29919433999999,0.0,1.0,5,9,2,1,2,1
16,2020-09-20 11:00:00,1,2,9,1712.36206055,1797.82580566,7.0,1.26267,1.39569,3.608695652173913,14.0,0.0,1.0,0.0,-0.13302000000000014,6.0,0.822944,1.26793,11.333333333333334,9.0,0.0,1.0,0.0,-0.444986,-85.46374510999999,1.0,1.0,6,9,0,1,2,5
