alias,canonical_name
Arsenal,Arsenal FC
Aston Villa,Aston Villa FC
Bournemouth,AFC Bournemouth
Brentford,Brentford FC
Brighton,Brighton & Hove Albion FC
Chelsea,Chelsea FC
Crystal Palace,Crystal Palace FC
Everton,Everton FC
Fulham,Fulham FC
Liverpool,Liverpool FC
Manchester City,Manchester City FC
Manchester United,Manchester United FC
Newcastle,Newcastle United FC
Nottingham Forest,Nottingham Forest FC
Tottenham,Tottenham Hotspur FC
West Ham,West Ham United FC
Wolves,Wolverhampton Wanderers FC
Ipswich Town,Ipswich Town FC
Leicester City,Leicester City FC
Southampton,Southampton FC
Burnley,Burnley FC
Sheffield Utd,Sheffield United FC
Luton,Luton FC
Leeds,Leeds United FC
Norwich,Norwich FC
Watford,Watford FC
Atalanta,Atalanta BC
Bologna,Bologna FC 1909
Cagliari,Cagliari Calcio
Como,Como 1907
Cremonese,US Cremonese
Empoli,Empoli FC
Fiorentina,ACF Fiorentina
Frosinone,Frosinone Calcio
Genoa,Genoa CFC
Hellas Verona,Hellas Verona FC
Inter,FC Internazionale Milano
Juventus,Juventus FC
Lazio,SS Lazio
Lecce,US Lecce
Milan,AC Milan
Monza,AC Monza
Napoli,SSC Napoli
Parma,Parma Calcio 1913
Roma,AS Roma
Salernitana,US Salernitana 1919
Sampdoria,UC Sampdoria
Sassuolo,US Sassuolo Calcio
Spezia,Spezia Calcio
Torino,Torino FC
Udinese,Udinese Calcio
Venezia,Venezia FC
Alavés,Deportivo Alavés
Almería,UD Almería
Athletic Club,Athletic Club
Atlético Madrid,Atlético de Madrid
Barcelona,FC Barcelona
Betis,Real Betis Balompié
Cádiz,Cádiz CF
Celta Vigo,RC Celta de Vigo
Elche,Elche CF
Espanyol,RCD Espanyol de Barcelona
Getafe,Getafe CF
Girona,Girona FC
Granada,Granada CF
Las Palmas,UD Las Palmas
Leganés,CD Leganés
Levante,Levante UD
Mallorca,RCD Mallorca
Osasuna,CA Osasuna
Rayo Vallecano,Rayo Vallecano de Madrid
Real Madrid,Real Madrid CF
Real Sociedad,Real Sociedad de Fútbol
Sevilla,Sevilla FC
Valencia,Valencia CF
Valladolid,Real Valladolid CF
Villarreal,Villarreal CF
Arminia Bielefeld,DSC Arminia Bielefeld
Augsburg,FC Augsburg
Bayer Leverkusen,Bayer 04 Leverkusen
Bayern Munich,FC Bayern München
Bochum,VfL Bochum 1848
Borussia Dortmund,Borussia Dortmund
Borussia M'gladbach,Borussia Mönchengladbach
Darmstadt,SV Darmstadt 98
Eintracht Frankfurt,Eintracht Frankfurt
Freiburg,SC Freiburg
Greuther Fürth,SpVgg Greuther Fürth
Heidenheim,1. FC Heidenheim 1846
Hertha BSC,Hertha BSC
Hoffenheim,TSG 1899 Hoffenheim
Holstein Kiel,Holstein Kiel
Köln,1. FC Köln
Mainz 05,1. FSV Mainz 05
RB Leipzig,RB Leipzig
Schalke 04,FC Schalke 04
St. Pauli,FC St. Pauli
Stuttgart,VfB Stuttgart
Union Berlin,1. FC Union Berlin
Werder Bremen,SV Werder Bremen
Wolfsburg,VfL Wolfsburg
Ajaccio,AC Ajaccio
Angers,Angers SCO
Auxerre,AJ Auxerre
Bordeaux,FC Girondins de Bordeaux
Brest,Stade Brestois 29
Clermont Foot,Clermont Foot 63
Le Havre,Le Havre AC
Lens,RC Lens
Lille,Lille OSC
Lorient,FC Lorient
Lyon,Olympique Lyonnais
Marseille,Olympique de Marseille
Metz,FC Metz
Monaco,AS Monaco
Montpellier,Montpellier Hérault SC
Nantes,FC Nantes
Nice,OGC Nice
Nîmes,Nîmes Olympique
PSG,Paris Saint-Germain FC
Reims,Stade de Reims
Rennes,Stade Rennais FC
Saint-Étienne,AS Saint-Étienne
Strasbourg,RC Strasbourg Alsace
Toulouse,Toulouse FC
Troyes,ES Troyes AC 
