id,utcDate,status,matchday,stage,group,lastUpdated,referees,area_id,area_name,area_code,area_flag,competition_id,competition_name,competition_code,competition_type,competition_emblem,season_id,season_startDate,season_endDate,season_currentMatchday,season_winner,homeTeam_id,homeTeam_name,homeTeam_shortName,homeTeam_tla,homeTeam_crest,awayTeam_id,awayTeam_name,awayTeam_shortName,awayTeam_tla,awayTeam_crest,score_winner,score_duration,score_fullTime_home,score_fullTime_away,score_halfTime_home,score_halfTime_away,odds_msg
540406,2025-08-22T18:30:00Z,FINISHED,1,REGULAR_SEASON,,2025-08-23T00:20:52Z,"[{'id': 57518, 'name': 'Florian Badstübner', 'type': 'REFEREE', 'nationality': 'Germany'}]",2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,5,FC Bayern München,Bayern,FCB,https://crests.football-data.org/5.png,721,RB Leipzig,RB Leipzig,RBL,https://crests.football-data.org/721.png,HOME_TEAM,REGULAR,6.0,0.0,3.0,0.0,Activate Odds-Package in User-Panel to retrieve odds.
540407,2025-08-23T13:30:00Z,TIMED,1,REGULAR_SEASON,,2025-08-23T01:32:00Z,"[{'id': 253, 'name': 'Harm Osmers', 'type': 'REFEREE', 'nationality': 'Germany'}]",2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,19,Eintracht Frankfurt,Frankfurt,SGE,https://crests.football-data.org/19.png,12,SV Werder Bremen,Bremen,SVW,https://crests.football-data.org/12.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540408,2025-08-23T13:30:00Z,TIMED,1,REGULAR_SEASON,,2025-08-23T01:32:00Z,"[{'id': 15408, 'name': 'Daniel Siebert', 'type': 'REFEREE', 'nationality': 'Germany'}]",2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,3,Bayer 04 Leverkusen,Leverkusen,B04,https://crests.football-data.org/3.png,2,TSG 1899 Hoffenheim,Hoffenheim,TSG,https://crests.football-data.org/2.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540409,2025-08-23T13:30:00Z,TIMED,1,REGULAR_SEASON,,2025-08-23T01:32:00Z,"[{'id': 43878, 'name': 'Felix Zwayer', 'type': 'REFEREE', 'nationality': 'Germany'}]",2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,17,SC Freiburg,Freiburg,SCF,https://crests.football-data.org/17.png,16,FC Augsburg,Augsburg,FCA,https://crests.football-data.org/16.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540412,2025-08-23T13:30:00Z,TIMED,1,REGULAR_SEASON,,2025-08-23T01:32:00Z,"[{'id': 57504, 'name': 'Robert Hartmann', 'type': 'REFEREE', 'nationality': 'Germany'}]",2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,28,1. FC Union Berlin,Union Berlin,UNB,https://crests.football-data.org/28.png,10,VfB Stuttgart,Stuttgart,VFB,https://crests.football-data.org/10.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540414,2025-08-23T13:30:00Z,TIMED,1,REGULAR_SEASON,,2025-08-23T01:32:00Z,"[{'id': 43922, 'name': 'Benjamin Brand', 'type': 'REFEREE', 'nationality': 'Germany'}]",2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,44,1. FC Heidenheim 1846,Heidenheim,HEI,https://crests.football-data.org/44.png,11,VfL Wolfsburg,Wolfsburg,WOB,https://crests.football-data.org/11.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540413,2025-08-23T16:30:00Z,TIMED,1,REGULAR_SEASON,,2025-08-23T01:32:01Z,"[{'id': 56230, 'name': 'Matthias Jöllenbeck', 'type': 'REFEREE', 'nationality': 'Germany'}]",2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,20,FC St. Pauli 1910,St. Pauli,STP,https://crests.football-data.org/20.png,4,Borussia Dortmund,Dortmund,BVB,https://crests.football-data.org/4.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540410,2025-08-24T13:30:00Z,TIMED,1,REGULAR_SEASON,,2025-08-23T01:32:02Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,15,1. FSV Mainz 05,Mainz,M05,https://crests.football-data.org/15.png,1,1. FC Köln,1. FC Köln,KOE,https://crests.football-data.org/1.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540411,2025-08-24T15:30:00Z,TIMED,1,REGULAR_SEASON,,2025-08-23T01:32:02Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,18,Borussia Mönchengladbach,M'gladbach,BMG,https://crests.football-data.org/18.png,7,Hamburger SV,HSV,HSV,https://crests.football-data.org/7.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540423,2025-08-29T18:30:00Z,TIMED,2,REGULAR_SEASON,,2025-08-23T01:32:04Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,7,Hamburger SV,HSV,HSV,https://crests.football-data.org/7.png,20,FC St. Pauli 1910,St. Pauli,STP,https://crests.football-data.org/20.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
