fixture_id,fixture_referee,fixture_timezone,fixture_date,fixture_timestamp,fixture_periods_first,fixture_periods_second,fixture_venue_id,fixture_venue_name,fixture_venue_city,fixture_status_long,fixture_status_short,fixture_status_elapsed,fixture_status_extra,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,league_standings,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away
881780,L. Marinelli,UTC,2022-08-13T16:30:00+00:00,1660408200,1660408200,1660411800,907,Stadio Giuseppe Meazza,Milano,Match Finished,FT,90,,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2022,Regular Season - 1,True,489,AC Milan,https://media.api-sports.io/football/teams/489.png,True,494,Udinese,https://media.api-sports.io/football/teams/494.png,False,4,2,2,2,4,2,,,,
881781,F. Dionisi,UTC,2022-08-13T16:30:00+00:00,1660408200,1660408200,1660411800,905,Stadio Comunale Luigi Ferraris,Genova,Match Finished,FT,90,,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2022,Regular Season - 1,True,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,False,499,Atalanta,https://media.api-sports.io/football/teams/499.png,True,0,2,0,1,0,2,,,,
881782,A. Prontera,UTC,2022-08-13T18:45:00+00:00,1660416300,1660416300,1660419900,911,Stadio Comunale Via del Mare,Lecce,Match Finished,FT,90,,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2022,Regular Season - 1,True,867,Lecce,https://media.api-sports.io/football/teams/867.png,False,505,Inter,https://media.api-sports.io/football/teams/505.png,True,1,2,0,1,1,2,,,,
881783,M. Mariani,UTC,2022-08-13T18:45:00+00:00,1660416300,1660416300,1660419900,12086,U-Power Stadium,Monza,Match Finished,FT,90,,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2022,Regular Season - 1,True,1579,Monza,https://media.api-sports.io/football/teams/1579.png,False,503,Torino,https://media.api-sports.io/football/teams/503.png,True,1,2,0,1,1,2,,,,
881785,L. Massimi,UTC,2022-08-14T16:30:00+00:00,1660494600,1660494600,1660498200,910,Stadio Olimpico,Roma,Match Finished,FT,90,,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2022,Regular Season - 1,True,487,Lazio,https://media.api-sports.io/football/teams/487.png,True,500,Bologna,https://media.api-sports.io/football/teams/500.png,False,2,1,0,1,2,1,,,,
881784,J. Sacchi,UTC,2022-08-14T16:30:00+00:00,1660494600,1660494600,1660498200,902,Stadio Artemio Franchi,Firenze,Match Finished,FT,90,,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2022,Regular Season - 1,True,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,True,520,Cremonese,https://media.api-sports.io/football/teams/520.png,False,3,2,2,1,3,2,,,,
881786,S. Sozza,UTC,2022-08-14T18:45:00+00:00,1660502700,1660502700,1660506300,933,Stadio Arechi,Salerno,Match Finished,FT,90,,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2022,Regular Season - 1,True,514,Salernitana,https://media.api-sports.io/football/teams/514.png,False,497,AS Roma,https://media.api-sports.io/football/teams/497.png,True,0,1,0,1,0,1,,,,
881787,D. Chiffi,UTC,2022-08-14T18:45:00+00:00,1660502700,1660502700,1660506300,939,Stadio Alberto Picco,La Spezia,Match Finished,FT,90,,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2022,Regular Season - 1,True,515,Spezia,https://media.api-sports.io/football/teams/515.png,True,511,Empoli,https://media.api-sports.io/football/teams/511.png,False,1,0,1,0,1,0,,,,
881788,M. Fabbri,UTC,2022-08-15T16:30:00+00:00,1660581000,1660581000,1660584600,890,Stadio Marc'Antonio Bentegodi,Verona,Match Finished,FT,90,,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2022,Regular Season - 1,True,504,Verona,https://media.api-sports.io/football/teams/504.png,False,492,Napoli,https://media.api-sports.io/football/teams/492.png,True,2,5,1,2,2,5,,,,
881789,A. Rapuano,UTC,2022-08-15T18:45:00+00:00,1660589100,1660589100,1660592700,909,Allianz Stadium,Torino,Match Finished,FT,90,,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2022,Regular Season - 1,True,496,Juventus,https://media.api-sports.io/football/teams/496.png,True,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,False,3,0,2,0,3,0,,,,
881791,G. Aureliano,UTC,2022-08-20T16:30:00+00:00,1661013000,1661013000,1661016600,928,Dacia Arena,Udine,Match Finished,FT,90,,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2022,Regular Season - 2,True,494,Udinese,https://media.api-sports.io/football/teams/494.png,,514,Salernitana,https://media.api-sports.io/football/teams/514.png,,0,0,0,0,0,0,,,,
881790,M. Piccinini,UTC,2022-08-20T16:30:00+00:00,1661013000,1661013000,1661016600,943,Stadio Olimpico Grande Torino,Torino,Match Finished,FT,90,,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2022,Regular Season - 2,True,503,Torino,https://media.api-sports.io/football/teams/503.png,,487,Lazio,https://media.api-sports.io/football/teams/487.png,,0,0,0,0,0,0,,,,
881793,A. Colombo,UTC,2022-08-20T18:45:00+00:00,1661021100,1661021100,1661024700,935,MAPEI Stadium - Città del Tricolore,Reggio nell'Emilia,Match Finished,FT,90,,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2022,Regular Season - 2,True,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,True,867,Lecce,https://media.api-sports.io/football/teams/867.png,False,1,0,1,0,1,0,,,,
