Date,League_ID,Season,Home_Team,Away_Team,Home_Goals,Away_Goals,Home_Goals_Time,Away_Goals_Time,RefereeName,Outcome,Total_Goals,Exact_Score,Team_Home,Avg_Goals_Scored_Last5_Home,Avg_Goals_Conceded_Last5_Home,Avg_Points_Last5_Home,Avg_Goals_Scored_Home_Last5_Home,Avg_Goals_Scored_Away_Last5_Home,Avg_Goals_Conceded_Home_Last5_Home,Avg_Goals_Conceded_Away_Last5_Home,Avg_Points_Home_Last5_Home,Avg_Points_Away_Last5_Home,Team_Away,Avg_Goals_Scored_Last5_Away,Avg_Goals_Conceded_Last5_Away,Avg_Points_Last5_Away,Avg_Goals_Scored_Home_Last5_Away,Avg_Goals_Scored_Away_Last5_Away,Avg_Goals_Conceded_Home_Last5_Away,Avg_Goals_Conceded_Away_Last5_Away,Avg_Points_Home_Last5_Away,Avg_Points_Away_Last5_Away,Diff_Avg_Goals_Scored_Last5,Diff_Avg_Goals_Scored_Venue_Last5,Diff_Avg_Goals_Conceded_Last5,Diff_Avg_Goals_Conceded_Venue_Last5,Diff_Avg_Points_Last5,Diff_Avg_Points_Venue_Last5,Month,DayOfWeek
2021-08-13 18:30:00,78,2021.0,Borussia Monchengladbach,FC Bayern München,1.0,1.0,1.0,1.0,Fritz,D,2.0,1-1,Borussia Monchengladbach,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,FC Bayern München,0.0,0.0,0.0,3.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,4
2021-08-14 13:30:00,78,2021.0,VfL Wolfsburg,Vfl Bochum,1.0,0.0,1.0,0.0,Willenborg,H,1.0,1-0,VfL Wolfsburg,0.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,3.0,Vfl Bochum,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,-1.0,0.0,3.0,8,5
2021-08-14 13:30:00,78,2021.0,FC Augsburg,1899 Hoffenheim,0.0,4.0,0.0,1.0,Brych,A,4.0,0-4,FC Augsburg,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1899 Hoffenheim,0.0,0.0,0.0,2.0,4.0,2.0,0.0,1.0,3.0,0.0,-4.0,0.0,4.0,0.0,-3.0,8,5
2021-08-14 13:30:00,78,2021.0,VfB Stuttgart,SpVgg Greuther Furth,5.0,1.0,2.0,0.0,Zwayer,H,6.0,5-1,VfB Stuttgart,0.0,0.0,0.0,5.0,0.0,1.0,4.0,3.0,0.0,SpVgg Greuther Furth,0.0,0.0,0.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,4.0,0.0,-4.0,0.0,3.0,8,5
2021-08-14 13:30:00,78,2021.0,1. FC Union Berlin,Bayer 04 Leverkusen,1.0,1.0,1.0,1.0,Reichel,D,2.0,1-1,1. FC Union Berlin,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,Bayer 04 Leverkusen,0.0,0.0,0.0,4.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5
2021-08-14 13:30:00,78,2021.0,DSC Arminia Bielefeld,SC Freiburg,0.0,0.0,0.0,0.0,Jablonski,D,0.0,0-0,DSC Arminia Bielefeld,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,SC Freiburg,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5
2021-08-14 16:30:00,78,2021.0,Borussia Dortmund,Eintracht Frankfurt,5.0,2.0,3.0,1.0,Stieler,H,7.0,5-2,Borussia Dortmund,0.0,0.0,0.0,5.0,1.0,2.0,2.0,3.0,0.0,Eintracht Frankfurt,0.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,-3.0,0.0,3.0,8,5
2021-08-15 13:30:00,78,2021.0,FSV Mainz 05,RB Leipzig,1.0,0.0,1.0,0.0,Siebert,H,1.0,1-0,FSV Mainz 05,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,RB Leipzig,0.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,-1.0,0.0,3.0,8,6
2021-08-15 15:30:00,78,2021.0,1.FC Köln,Hertha Berlin,3.0,1.0,1.0,1.0,Hartmann,H,4.0,3-1,1.FC Köln,0.0,0.0,0.0,3.0,2.0,1.0,3.0,3.0,0.0,Hertha Berlin,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,-2.0,0.0,3.0,8,6
2021-08-20 18:30:00,78,2021.0,RB Leipzig,VfB Stuttgart,4.0,0.0,1.0,0.0,Badstübner,H,4.0,4-0,RB Leipzig,0.0,1.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,VfB Stuttgart,5.0,1.0,3.0,5.0,0.0,1.0,4.0,3.0,0.0,-5.0,4.0,0.0,-4.0,-3.0,3.0,8,4
