Date,League_ID,Season,Home_Team,Away_Team,Home_Goals,Away_Goals,Home_Goals_Time,Away_Goals_Time,RefereeName,Outcome,Total_Goals,Exact_Score,Team_Home,Avg_Goals_Scored_Last5_Home,Avg_Goals_Conceded_Last5_Home,Avg_Points_Last5_Home,Avg_Goals_Scored_Home_Last5_Home,Avg_Goals_Scored_Away_Last5_Home,Avg_Goals_Conceded_Home_Last5_Home,Avg_Goals_Conceded_Away_Last5_Home,Avg_Points_Home_Last5_Home,Avg_Points_Away_Last5_Home,Team_Away,Avg_Goals_Scored_Last5_Away,Avg_Goals_Conceded_Last5_Away,Avg_Points_Last5_Away,Avg_Goals_Scored_Home_Last5_Away,Avg_Goals_Scored_Away_Last5_Away,Avg_Goals_Conceded_Home_Last5_Away,Avg_Goals_Conceded_Away_Last5_Away,Avg_Points_Home_Last5_Away,Avg_Points_Away_Last5_Away,Diff_Avg_Goals_Scored_Last5,Diff_Avg_Goals_Scored_Venue_Last5,Diff_Avg_Goals_Conceded_Last5,Diff_Avg_Goals_Conceded_Venue_Last5,Diff_Avg_Points_Last5,Diff_Avg_Points_Venue_Last5,Month,DayOfWeek
2021-08-13 19:00:00,140,2021.0,Valencia CF,Getafe CF,1.0,0.0,1.0,0.0,Gil,H,1.0,1-0,Valencia CF,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,Getafe CF,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,3.0,8,4
2021-08-14 17:30:00,140,2021.0,Cadiz,Levante UD,1.0,1.0,0.0,1.0,Jaime,D,2.0,1-1,Cadiz,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,Levante UD,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5
2021-08-14 17:30:00,140,2021.0,RCD Mallorca,Real Betis,1.0,1.0,1.0,0.0,Mateu,D,2.0,1-1,RCD Mallorca,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,Real Betis,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5
2021-08-14 20:00:00,140,2021.0,Alaves,Real Madrid CF,1.0,4.0,0.0,0.0,Soto,A,5.0,1-4,Alaves,0.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,Real Madrid CF,0.0,0.0,0.0,5.0,4.0,2.0,1.0,3.0,3.0,0.0,-3.0,0.0,3.0,0.0,-3.0,8,5
2021-08-14 20:00:00,140,2021.0,CA Osasuna,RCD Espanyol de Barcelona,0.0,0.0,0.0,0.0,Ortiz,D,0.0,0-0,CA Osasuna,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,3.0,RCD Espanyol de Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5
2021-08-15 15:30:00,140,2021.0,RC Celta de Vigo,Atletico Madrid,1.0,2.0,0.0,1.0,Munuera,A,3.0,1-2,RC Celta de Vigo,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,Atletico Madrid,0.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,3.0,0.0,-1.0,0.0,1.0,0.0,-3.0,8,6
2021-08-15 18:00:00,140,2021.0,FC Barcelona,Real Sociedad de Fútbol,4.0,2.0,2.0,0.0,Hernández,H,6.0,4-2,FC Barcelona,0.0,0.0,0.0,4.0,1.0,2.0,1.0,3.0,1.0,Real Sociedad de Fútbol,0.0,0.0,0.0,1.0,2.0,0.0,4.0,3.0,0.0,0.0,2.0,0.0,-2.0,0.0,3.0,8,6
2021-08-15 20:15:00,140,2021.0,Sevilla FC,Rayo Vallecano de Madrid,3.0,0.0,1.0,0.0,Mera,H,3.0,3-0,Sevilla FC,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,3.0,Rayo Vallecano de Madrid,0.0,0.0,0.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,-3.0,0.0,3.0,8,6
2021-08-16 18:00:00,140,2021.0,Villarreal CF,Granada CF,0.0,0.0,0.0,0.0,González,D,0.0,0-0,Villarreal CF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Granada CF,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0
2021-08-16 20:00:00,140,2021.0,Elche CF,Athletic Club,0.0,0.0,0.0,0.0,Cordero,D,0.0,0-0,Elche CF,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Athletic Club,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0
