Date,League_ID,Season,Home_Team,Away_Team,Home_Goals,Away_Goals,Home_Goals_Time,Away_Goals_Time,RefereeName,Outcome,Total_Goals,Exact_Score,Team_Home,Avg_Goals_Scored_Last5_Home,Avg_Goals_Conceded_Last5_Home,Avg_Points_Last5_Home,Avg_Goals_Scored_Home_Last5_Home,Avg_Goals_Scored_Away_Last5_Home,Avg_Goals_Conceded_Home_Last5_Home,Avg_Goals_Conceded_Away_Last5_Home,Avg_Points_Home_Last5_Home,Avg_Points_Away_Last5_Home,Team_Away,Avg_Goals_Scored_Last5_Away,Avg_Goals_Conceded_Last5_Away,Avg_Points_Last5_Away,Avg_Goals_Scored_Home_Last5_Away,Avg_Goals_Scored_Away_Last5_Away,Avg_Goals_Conceded_Home_Last5_Away,Avg_Goals_Conceded_Away_Last5_Away,Avg_Points_Home_Last5_Away,Avg_Points_Away_Last5_Away,Diff_Avg_Goals_Scored_Last5,Diff_Avg_Goals_Scored_Venue_Last5,Diff_Avg_Goals_Conceded_Last5,Diff_Avg_Goals_Conceded_Venue_Last5,Diff_Avg_Points_Last5,Diff_Avg_Points_Venue_Last5,Month,DayOfWeek
2021-08-21 16:30:00,135,2021.0,Verona,US Sassuolo Calcio,2.0,3.0,0.0,1.0,Volpi,A,5.0,2-3,Verona,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,US Sassuolo Calcio,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,3.0,0.0,-1.0,0.0,1.0,0.0,-3.0,8,5
2021-08-21 16:30:00,135,2021.0,FC Internazionale Milano,Genoa CFC,4.0,0.0,2.0,0.0,Marini,H,4.0,4-0,FC Internazionale Milano,0.0,0.0,0.0,4.0,3.0,0.0,1.0,3.0,3.0,Genoa CFC,0.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,-4.0,0.0,3.0,8,5
2021-08-21 18:45:00,135,2021.0,Torino FC,Atalanta BC,1.0,2.0,0.0,1.0,Chiffi,A,3.0,1-2,Torino FC,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,Atalanta BC,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,-1.0,0.0,1.0,0.0,-3.0,8,5
2021-08-21 18:45:00,135,2021.0,Empoli FC,SS Lazio,1.0,3.0,1.0,3.0,Sozza,A,4.0,1-3,Empoli FC,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,3.0,SS Lazio,0.0,0.0,0.0,6.0,3.0,1.0,1.0,3.0,3.0,0.0,-2.0,0.0,2.0,0.0,-3.0,8,5
2021-08-22 16:30:00,135,2021.0,Udinese Calcio,Juventus FC,2.0,2.0,0.0,2.0,Pezzuto,D,4.0,2-2,Udinese Calcio,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,3.0,Juventus FC,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,6
2021-08-22 16:30:00,135,2021.0,Bologna FC 1909,US Salernitana 1919,3.0,2.0,0.0,0.0,Rapuano,H,5.0,3-2,Bologna FC 1909,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,1.0,US Salernitana 1919,0.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,3.0,8,6
2021-08-22 18:45:00,135,2021.0,AS Roma,ACF Fiorentina,3.0,1.0,1.0,0.0,Pairetto,H,4.0,3-1,AS Roma,0.0,0.0,0.0,3.0,4.0,1.0,0.0,3.0,3.0,ACF Fiorentina,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,0.0,0.0,2.0,0.0,-2.0,0.0,3.0,8,6
2021-08-22 18:45:00,135,2021.0,SSC Napoli,Venezia FC,2.0,0.0,0.0,0.0,Aureliano,H,2.0,2-0,SSC Napoli,0.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,3.0,Venezia FC,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,-2.0,0.0,3.0,8,6
2021-08-23 16:30:00,135,2021.0,Cagliari Calcio,Spezia Calcio,2.0,2.0,0.0,1.0,Fourneau,D,4.0,2-2,Cagliari Calcio,0.0,0.0,0.0,2.0,1.0,2.0,4.0,1.0,0.0,Spezia Calcio,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0
2021-08-23 18:45:00,135,2021.0,UC Sampdoria,AC Milan,0.0,1.0,0.0,1.0,Guida,A,1.0,0-1,UC Sampdoria,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,AC Milan,0.0,0.0,0.0,4.0,1.0,1.0,0.0,3.0,3.0,0.0,-1.0,0.0,1.0,0.0,-3.0,8,0
2021-08-27 16:30:00,135,2021.0,Udinese Calcio,Venezia FC,3.0,0.0,1.0,0.0,Marinelli,H,3.0,3-0,Udinese Calcio,2.0,2.0,1.0,2.0,1.0,2.0,0.0,1.0,3.0,Venezia FC,0.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,8,4
2021-08-27 18:45:00,135,2021.0,Verona,FC Internazionale Milano,1.0,3.0,1.0,0.0,Manganiello,A,4.0,1-3,Verona,2.0,3.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,FC Internazionale Milano,4.0,0.0,3.0,4.0,3.0,0.0,1.0,3.0,3.0,-2.0,-1.0,3.0,2.0,-3.0,-3.0,8,4
2021-08-28 16:30:00,135,2021.0,SS Lazio,Spezia Calcio,6.0,1.0,3.0,1.0,Dionisi,H,7.0,6-1,SS Lazio,3.0,1.0,3.0,6.0,3.0,1.0,1.0,3.0,3.0,Spezia Calcio,2.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,4.0,-1.0,-1.0,2.0,2.0,8,5
2021-08-28 16:30:00,135,2021.0,Atalanta BC,Bologna FC 1909,0.0,0.0,0.0,0.0,Orsato,D,0.0,0-0,Atalanta BC,2.0,1.0,3.0,0.0,2.0,0.0,1.0,1.0,3.0,Bologna FC 1909,3.0,2.0,3.0,3.0,0.0,2.0,0.0,3.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,8,5
2021-08-28 18:45:00,135,2021.0,Juventus FC,Empoli FC,0.0,1.0,0.0,1.0,Ghersini,A,1.0,0-1,Juventus FC,2.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,Empoli FC,1.0,3.0,0.0,1.0,1.0,3.0,0.0,0.0,3.0,1.0,-1.0,-1.0,1.0,1.0,-3.0,8,5
2021-08-28 18:45:00,135,2021.0,ACF Fiorentina,Torino FC,2.0,1.0,1.0,0.0,Mariani,H,3.0,2-1,ACF Fiorentina,1.0,3.0,0.0,2.0,1.0,1.0,3.0,3.0,0.0,Torino FC,1.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,3.0,8,5
2021-08-29 16:30:00,135,2021.0,Genoa CFC,SSC Napoli,1.0,2.0,0.0,1.0,Bello,A,3.0,1-2,Genoa CFC,0.0,4.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,SSC Napoli,2.0,0.0,3.0,2.0,2.0,0.0,1.0,3.0,3.0,-2.0,-1.0,4.0,1.0,-3.0,-3.0,8,6
2021-08-29 16:30:00,135,2021.0,US Sassuolo Calcio,UC Sampdoria,0.0,0.0,0.0,0.0,Sacchi,D,0.0,0-0,US Sassuolo Calcio,3.0,2.0,3.0,0.0,3.0,0.0,2.0,1.0,3.0,UC Sampdoria,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,3.0,0.0,8,6
2021-08-29 18:45:00,135,2021.0,US Salernitana 1919,AS Roma,0.0,4.0,0.0,0.0,Abisso,A,4.0,0-4,US Salernitana 1919,2.0,3.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,AS Roma,3.0,1.0,3.0,3.0,4.0,1.0,0.0,3.0,3.0,-1.0,-4.0,2.0,4.0,-3.0,-3.0,8,6
2021-08-29 18:45:00,135,2021.0,AC Milan,Cagliari Calcio,4.0,1.0,4.0,1.0,Serra,H,5.0,4-1,AC Milan,1.0,0.0,3.0,4.0,1.0,1.0,0.0,3.0,3.0,Cagliari Calcio,2.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,0.0,-1.0,3.0,-2.0,-3.0,2.0,3.0,8,6
2021-09-11 13:00:00,135,2021.0,Empoli FC,Venezia FC,1.0,2.0,0.0,1.0,Rapuano,A,3.0,1-2,Empoli FC,1.0,1.5,1.5,1.0,1.0,3.0,0.0,0.0,3.0,Venezia FC,0.0,2.5,0.0,1.0,0.0,2.0,2.5,0.0,0.0,1.0,1.0,-1.0,0.5,1.5,0.0,9,5
2021-09-11 16:00:00,135,2021.0,SSC Napoli,Juventus FC,2.0,1.0,0.0,1.0,Irrati,H,3.0,2-1,SSC Napoli,2.0,0.5,3.0,2.0,2.0,0.0,1.0,3.0,3.0,Juventus FC,1.0,1.5,0.5,0.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,-1.0,-2.0,2.5,2.0,9,5
2021-09-11 18:45:00,135,2021.0,Atalanta BC,ACF Fiorentina,1.0,2.0,0.0,1.0,Marini,A,3.0,1-2,Atalanta BC,1.0,0.5,2.0,0.0,2.0,0.0,1.0,1.0,3.0,ACF Fiorentina,1.5,2.0,1.5,2.0,1.0,1.0,3.0,3.0,0.0,-0.5,-1.0,-1.5,-3.0,0.5,1.0,9,5
2021-09-12 10:30:00,135,2021.0,UC Sampdoria,FC Internazionale Milano,2.0,2.0,1.0,2.0,Orsato,D,4.0,2-2,UC Sampdoria,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,1.0,FC Internazionale Milano,3.5,0.5,3.0,4.0,3.0,0.0,1.0,3.0,3.0,-3.5,-3.0,0.0,0.0,-2.5,-3.0,9,6
2021-09-12 13:00:00,135,2021.0,Spezia Calcio,Udinese Calcio,0.0,1.0,0.0,0.0,Guida,A,1.0,0-1,Spezia Calcio,1.5,4.0,0.5,0.0,2.0,1.0,2.0,0.0,1.0,Udinese Calcio,2.5,1.0,2.0,2.0,1.0,2.0,0.0,1.0,3.0,-1.0,-1.0,3.0,1.0,-1.5,-3.0,9,6
2021-09-12 13:00:00,135,2021.0,Torino FC,US Salernitana 1919,4.0,0.0,1.0,0.0,Aureliano,H,4.0,4-0,Torino FC,1.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,US Salernitana 1919,1.0,3.5,0.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,-1.0,-1.5,-1.0,0.0,0.0,9,6
2021-09-12 13:00:00,135,2021.0,Cagliari Calcio,Genoa CFC,2.0,3.0,1.0,0.0,Pairetto,A,5.0,2-3,Cagliari Calcio,1.5,3.0,0.5,2.0,1.0,2.0,4.0,1.0,0.0,Genoa CFC,0.5,3.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,2.0,0.0,-2.0,0.5,1.0,9,6
2021-09-12 16:00:00,135,2021.0,AC Milan,SS Lazio,2.0,0.0,1.0,0.0,Chiffi,H,2.0,2-0,AC Milan,2.5,0.5,3.0,4.0,1.0,1.0,0.0,3.0,3.0,SS Lazio,4.5,1.0,3.0,6.0,3.0,1.0,1.0,3.0,3.0,-2.0,1.0,-0.5,0.0,0.0,0.0,9,6
2021-09-12 18:45:00,135,2021.0,AS Roma,US Sassuolo Calcio,2.0,1.0,1.0,0.0,Sozza,H,3.0,2-1,AS Roma,3.5,0.5,3.0,3.0,4.0,1.0,0.0,3.0,3.0,US Sassuolo Calcio,1.5,1.0,2.0,0.0,3.0,0.0,2.0,1.0,3.0,2.0,0.0,-0.5,-1.0,1.0,0.0,9,6
